,neg,neu,pos,compound
1920,0.07961272369433975,0.8120509750411729,0.07556610736181871,0.03277019390266865
1921,0.07985214141561202,0.8234599064376898,0.07389316422831636,0.02279478791838161
1922,0.07882485677320678,0.8189734387811991,0.07427087472398322,0.027930829721610755
1923,0.11497757635275792,0.8236734940299402,0.08344408025696626,-0.022095150639664368
1924,0.10731362434575141,0.8222018571791175,0.08159955006837967,-0.011115031593248371
1925,0.11089754662491436,0.817152136792118,0.08260153283730068,-0.010651216254332954
1926,0.09866268948658304,0.8083512772856634,0.0832350197626647,0.00975101346508883
1927,0.09066300303702643,0.8055110479518266,0.08204522342915799,0.02178072558198906
1928,0.07663904579049202,0.7982221956017388,0.07999629862705608,0.04514245998071305
1929,0.07880431473291874,0.8004664217456586,0.07952614678644129,0.04120311673498124
1930,0.08510589377438878,0.8097388132174689,0.0804863140022717,0.02466897900587065
1931,0.08846366912600559,0.809219285956011,0.08138424574692064,0.020932799171062763
1932,0.1148196508174169,0.8068994132656045,0.08287630164382659,-0.004595365726848016
1933,0.10711568016049136,0.8094796786406618,0.08207359386653039,0.0013310473323163683
1934,0.09991669266332649,0.801445967060494,0.08427452292264175,0.014362817353537739
1935,0.09726394853724626,0.8064546807435978,0.08252869728486849,0.01375267343428745
1936,0.0913301628196063,0.792691477445601,0.08418985972823567,0.03178850000655696
1937,0.0640408431318439,0.8044977281110817,0.07527833151079631,0.05618309724627811
1938,0.06405722144948725,0.7984095132285204,0.07584734997383441,0.061685915348158024
1939,0.07190553271379804,0.8036185704094623,0.07930900587446456,0.045166891002275104
1940,0.07810499165371107,0.814049373986073,0.07867563014087339,0.029170004219342512
1941,0.08135524541932224,0.8305990915760184,0.07423419165013372,0.013811471354525628
1942,0.09404655524703248,0.8562738048169564,0.0756305256067556,-0.02595088567074438
1943,0.09273970023403229,0.8604973377377373,0.07485777851235054,-0.02809481648412019
1944,0.09310513789421199,0.8640121760644331,0.07285448119384706,-0.029971795152492153
1945,0.08899388017939357,0.8495624495875311,0.07625879907858077,-0.014815128845505373
1946,0.08201592287214837,0.8362703154870725,0.07661772065892304,0.005096040981856071
1947,0.07955083716869839,0.837873495843938,0.07289381417013956,0.00968185281722399
1948,0.0710620820836896,0.8322553955713771,0.06999710137084311,0.026685420974090338
1949,0.06975631766600558,0.8307425450727428,0.0694563756401828,0.030044761621068873
1950,0.07162209493121091,0.8341534332625287,0.07191299478744566,0.022311477018814717
1951,0.07177510241204077,0.836487869997525,0.07248657879984398,0.019250448790590232
1952,0.07372969934438743,0.8337232720890898,0.06965193126879068,0.022895097297732064
1953,0.0728878869968023,0.8285193435557868,0.07021089885759775,0.028381870589813202
1954,0.06948907657423874,0.8218225777624732,0.0714625393448308,0.03722580631845713
1955,0.0681715550855802,0.8182792448900149,0.0724602925820525,0.0410889074423524
1956,0.07199393378733472,0.8145960215437531,0.07456658128554895,0.03884346338336325
1957,0.07620360251215268,0.8232054589530172,0.07405457860726265,0.026536359927567334
1958,0.0772160822455268,0.8249040689628253,0.07088749832775156,0.026992350463896208
1959,0.07875541712455472,0.8208831292757391,0.0714875133697795,0.02887394022992662
1960,0.07633526575166226,0.8231113017970509,0.07299164199650264,0.027561790454784234
1961,0.07635088389829384,0.817906594328886,0.07281063310332624,0.03293188866949397
1962,0.07026258143741809,0.8267188769960729,0.07301118966630508,0.03000735190020388
1963,0.07479093544802413,0.8240876278568532,0.07556071504305005,0.02556072165207278
1964,0.06591579193416426,0.8110809752368394,0.06981176838556516,0.05319146444343123
1965,0.07913062054288829,0.8285996195222638,0.073982189789604,0.01828757014524376
1966,0.06851762801704565,0.8318249738557202,0.0717366676832807,0.02792073044395346
1967,0.07314908572372426,0.8395520138241576,0.07321523288883669,0.014083667563281494
1968,0.09678924801447768,0.8373197359934134,0.07495788692384235,-0.00906687093173346
1969,0.09546218410305972,0.8364199303491265,0.07485796616157132,-0.006740080613757546
1970,0.07352337651479963,0.8450340713386544,0.07150633208186657,0.00993622006467943
1971,0.07495011855033064,0.843920239613555,0.0701311504816478,0.010998491354466554
1972,0.06592386837453998,0.8396729962308261,0.06972212983895087,0.02468100555568306
1973,0.06572964244914342,0.8520227782442586,0.06915658202606684,0.013090997280531048
1974,0.06303470553046982,0.8444674568894707,0.06774588422276927,0.024751953357290378
1975,0.0669226110701438,0.8560607088063776,0.06669819267448031,0.010318487448998354
1976,0.06553828860489348,0.8444776661837614,0.0666910394477021,0.023293005763642897
1977,0.06392586012374779,0.8381752343051571,0.06611513597979117,0.03178376959130385
1978,0.0626777815381788,0.8334999449313695,0.06695980219236468,0.03686247133808706
1979,0.06459129043513323,0.8297512947285841,0.06834922931078383,0.03730818552549881
1980,0.08233894608084298,0.8160613050956381,0.07247832425201117,0.02912142457150775
1981,0.050184757386239995,0.7738234914537794,0.06215805034504297,0.1138337008149376
1982,0.05024567590814355,0.7815908875393676,0.062220381611845316,0.10594305494064346
1983,0.04714233560154142,0.7865586163363432,0.059751484503874894,0.10654756355824041
1984,0.04621989666906296,0.7850043461314307,0.05927106725839461,0.10950468994111172
1985,0.04730268761833871,0.7868144890776628,0.05992027836665653,0.10596254493734193
1986,0.04754994118496595,0.7903899913117076,0.059911480162663816,0.10214858734066251
1987,0.05359892498817663,0.7750762381235611,0.06997279726908422,0.10135203961917809
1988,0.05461037365443546,0.7812772679514993,0.069079142020272,0.09503321637379315
1989,0.05564038284202582,0.7836703949508842,0.06929251937432583,0.09139670283276415
1990,0.05778005602885075,0.7920443984460822,0.06905429351878828,0.08112125200627876
